رقم_الطلب,تاريخ_التقديم,تاريخ_الإغلاق,الحي,نوع_الخدمة,التصنيف,قناة_التقديم,الحالة,مدة_المعالجة_أيام,تقييم_الرضا,موسم_ذروة
MKC-2024567,2023-01-15,2023-01-22,أجياد,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,7.0,3.0,لا
MKC-2026070,2023-01-15,2023-01-24,جرول,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,9.0,,لا
MKC-2025533,2023-01-16,2023-01-19,أجياد,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,5.0,لا
MKC-2027791,2023-01-16,2023-01-19,الششة,شكوى إشغال طريق,شكوى,حساب X (تويتر),مغلق - تم الحل,3.0,5.0,لا
MKC-2023811,2023-01-16,2023-02-03,جرول,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,18.0,3.0,لا
MKC-2026531,2023-01-16,2023-01-25,الشرائع,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,9.0,4.0,لا
MKC-2027336,2023-01-17,,المسفلة,شكوى صرف صحي,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2024928,2023-01-17,2023-01-19,العزيزية,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,2.0,5.0,لا
MKC-2024948,2023-01-17,,العزيزية,شكوى مركبات مهملة,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2023682,2023-01-17,2023-01-19,أجياد,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,2.0,4.0,لا
MKC-2023238,2023-01-17,2023-02-02,جرول,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مرفوض,16.0,,لا
MKC-2023825,2023-01-17,2023-01-19,الرصيفة,شكوى باعة متجولين,شكوى,تطبيق بلدي,محول لجهة أخرى,2.0,,لا
MKC-2023796,2023-01-18,2023-01-19,الهجرة,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,1.0,5.0,لا
MKC-2027500,2023-01-18,2023-02-09,العزيزية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,22.0,,لا
MKC-2028571,2023-01-18,2023-01-26,الكعكية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مرفوض,8.0,,لا
MKC-2027166,2023-01-18,2023-02-25,النوارية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,38.0,3.0,لا
MKC-2027402,2023-01-18,2023-01-22,العزيزية,شكوى صرف صحي,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,لا
MKC-2024044,2023-01-19,2023-01-24,العزيزية,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,5.0,لا
MKC-2026878,2023-01-19,2023-01-29,الششة,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,10.0,4.0,لا
MKC-2028205,2023-01-19,2023-01-23,الزاهر,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,4.0,4.0,لا
MKC-2026458,2023-01-19,2023-02-04,العتيبية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,16.0,5.0,لا
MKC-2027135,2023-01-19,2023-02-02,الجميزة,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,14.0,3.0,لا
MKC-2026804,2023-01-19,2023-01-25,الشرائع,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,6.0,4.0,لا
MKC-2027449,2023-01-19,2023-01-24,الحجون,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,5.0,5.0,لا
MKC-2025872,2023-01-19,2023-01-29,الكعكية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,10.0,3.0,لا
MKC-2023149,2023-01-20,2023-03-05,الشوقية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,44.0,4.0,لا
MKC-2027247,2023-01-20,2023-02-03,العزيزية,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,محول لجهة أخرى,14.0,,لا
MKC-2023269,2023-01-20,2023-02-02,العزيزية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,13.0,4.0,لا
MKC-2024893,2023-01-20,2023-01-30,الشرائع,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مرفوض,10.0,,لا
MKC-2024901,2023-01-20,2023-02-11,الرصيفة,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,22.0,,لا
MKC-2025030,2023-01-20,2023-03-03,العتيبية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,42.0,3.0,لا
MKC-2025037,2023-01-21,2023-01-29,العتيبية,تجديد رخصة تجارية,طلب ترخيص,حساب X (تويتر),محول لجهة أخرى,8.0,,لا
MKC-2028102,2023-01-21,2023-01-23,الحجون,شكوى باعة متجولين,شكوى,حساب X (تويتر),مغلق - تم الحل,2.0,4.0,لا
MKC-2028186,2023-01-21,2023-01-26,النوارية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,5.0,5.0,لا
MKC-2023084,2023-01-21,2023-01-28,النوارية,شكوى نظافة عامة,شكوى,حساب X (تويتر),مغلق - تم الحل,7.0,4.0,لا
MKC-2023135,2023-01-21,2023-02-14,النوارية,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مرفوض,24.0,,لا
MKC-2027858,2023-01-22,2023-01-29,أجياد,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,7.0,5.0,لا
MKC-2025349,2023-01-22,2023-01-31,بطحاء قريش,شكوى إشغال طريق,شكوى,حساب X (تويتر),مغلق - تم الحل,9.0,3.0,لا
MKC-2028498,2023-01-22,2023-02-11,الهجرة,ترخيص بناء,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,20.0,,لا
MKC-2024355,2023-01-22,2023-01-29,بطحاء قريش,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,7.0,,لا
MKC-2028852,2023-01-22,2023-01-31,العزيزية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مقبول ومنفذ,9.0,4.0,لا
MKC-2024068,2023-01-22,2023-01-27,بطحاء قريش,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,5.0,4.0,لا
MKC-2023871,2023-01-22,2023-01-28,الزاهر,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,6.0,4.0,لا
MKC-2026792,2023-01-22,2023-01-25,الشوقية,شكوى باعة متجولين,شكوى,المركز الموحد 940,مغلق - تم الحل,3.0,4.0,لا
MKC-2023226,2023-01-23,,العزيزية,شكوى مخالفة بناء,شكوى,مكتب فرعي بالحي,قيد المعالجة,,,لا
MKC-2025886,2023-01-23,,الزاهر,طلب صيانة حديقة/ملعب,طلب صيانة,مكتب فرعي بالحي,قيد المعالجة,,,لا
MKC-2025556,2023-01-23,2023-01-25,الجميزة,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,5.0,لا
MKC-2024720,2023-01-23,2023-01-31,العتيبية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,8.0,,لا
MKC-2023589,2023-01-23,,النوارية,شكوى نظافة عامة,شكوى,حساب X (تويتر),قيد المعالجة,,,لا
MKC-2027337,2023-01-23,2023-01-29,الششة,ترخيص لافتات إعلانية,طلب ترخيص,مكتب فرعي بالحي,مرفوض,6.0,,لا
MKC-2026698,2023-01-23,2023-02-19,النوارية,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,27.0,4.0,لا
MKC-2027558,2023-01-23,,العتيبية,شكوى نظافة عامة,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2026307,2023-01-24,2023-01-28,العتيبية,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مرفوض,4.0,,لا
MKC-2028480,2023-01-24,2023-03-08,النسيم,ترخيص بناء,طلب ترخيص,حساب X (تويتر),محول لجهة أخرى,43.0,,لا
MKC-2026332,2023-01-24,,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2025580,2023-01-24,2023-01-27,الشرائع,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,3.0,3.0,لا
MKC-2025129,2023-01-24,2023-02-04,الشرائع,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مرفوض,11.0,,لا
MKC-2028029,2023-01-24,2023-01-25,النوارية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مقبول ومنفذ,1.0,5.0,لا
MKC-2027379,2023-01-24,2023-01-29,الرصيفة,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,5.0,لا
MKC-2026299,2023-01-25,2023-01-27,الشرائع,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,2.0,5.0,لا
MKC-2028901,2023-01-25,2023-01-29,الكعكية,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,4.0,لا
MKC-2024204,2023-01-25,2023-01-31,المسفلة,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,6.0,,لا
MKC-2024742,2023-01-25,2023-01-31,أجياد,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مغلق - تم الحل,6.0,4.0,لا
MKC-2024317,2023-01-25,2023-01-31,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مقبول ومنفذ,6.0,5.0,لا
MKC-2026191,2023-01-25,2023-02-01,الششة,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,7.0,3.0,لا
MKC-2026393,2023-01-26,2023-01-30,الششة,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,4.0,,لا
MKC-2026861,2023-01-26,2023-02-05,الهجرة,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,10.0,4.0,لا
MKC-2025814,2023-01-26,2023-02-03,النسيم,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,8.0,5.0,لا
MKC-2028894,2023-01-26,2023-01-28,العزيزية,شكوى باعة متجولين,شكوى,المركز الموحد 940,مغلق - تم الحل,2.0,5.0,لا
MKC-2027074,2023-01-27,2023-02-04,العزيزية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,8.0,4.0,لا
MKC-2023414,2023-01-27,,بطحاء قريش,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2027256,2023-01-28,2023-03-11,العزيزية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,42.0,3.0,لا
MKC-2028372,2023-01-28,,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,قيد المعالجة,,,لا
MKC-2027429,2023-01-28,2023-02-06,الشرائع,شكوى مركبات مهملة,شكوى,حساب X (تويتر),مرفوض,9.0,,لا
MKC-2023649,2023-01-28,2023-02-01,الشوقية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,4.0,4.0,لا
MKC-2023971,2023-01-28,2023-02-21,الشوقية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,24.0,4.0,لا
MKC-2023794,2023-01-28,2023-02-07,الزاهر,ترخيص بناء,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,10.0,4.0,لا
MKC-2027541,2023-01-28,2023-01-30,الزاهر,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مرفوض,2.0,,لا
MKC-2026641,2023-01-28,2023-02-06,العتيبية,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مقبول ومنفذ,9.0,4.0,لا
MKC-2028416,2023-01-29,2023-02-04,جرول,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,6.0,4.0,لا
MKC-2028861,2023-01-29,2023-02-03,النسيم,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,4.0,لا
MKC-2026823,2023-01-29,2023-03-01,الشوقية,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,31.0,3.0,لا
MKC-2025559,2023-01-29,2023-02-01,الحجون,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,4.0,لا
MKC-2027968,2023-01-29,2023-02-09,العزيزية,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,11.0,4.0,لا
MKC-2025079,2023-01-29,2023-02-08,جرول,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,10.0,,لا
MKC-2023068,2023-01-29,2023-02-06,الكعكية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,8.0,,لا
MKC-2024728,2023-01-29,2023-02-05,الششة,شكوى إشغال طريق,شكوى,حساب X (تويتر),مغلق - تم الحل,7.0,4.0,لا
MKC-2027146,2023-01-29,2023-01-31,الزاهر,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,2.0,,لا
MKC-2023767,2023-01-29,2023-02-03,النسيم,ترخيص لافتات إعلانية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,5.0,4.0,لا
MKC-2025604,2023-01-29,2023-02-03,الشوقية,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,5.0,,لا
MKC-2024840,2023-01-30,2023-02-21,المسفلة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,22.0,,لا
MKC-2025697,2023-01-30,2023-02-14,الشوقية,شكوى مركبات مهملة,شكوى,المركز الموحد 940,محول لجهة أخرى,15.0,,لا
MKC-2025320,2023-01-30,2023-02-03,الشرائع,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,لا
MKC-2027231,2023-01-30,2023-02-01,العزيزية,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,5.0,لا
